track_name,album_name,valence,energy,data_type
You Are In Love (Taylor’s Version),1989 (Taylor's Version),0.4619748890399933,0.5930613875389099,PREDICTED
New Romantics (Taylor’s Version),1989 (Taylor's Version),0.5272555351257324,0.7337566018104553,PREDICTED
“Slut!” (Taylor’s Version) [From the Vault],1989 (Taylor's Version),0.47343069314956665,0.6010624170303345,PREDICTED
Say Don’t Go (Taylor’s Version) [From the Vault],1989 (Taylor's Version),0.4741423428058624,0.6294723749160767,PREDICTED
Now That We Don’t Talk (Taylor’s Version) [From the Vault],1989 (Taylor's Version),0.32639139890670776,0.37761446833610535,PREDICTED
Suburban Legends (Taylor’s Version) [From the Vault],1989 (Taylor's Version),0.31333020329475403,0.5234426259994507,PREDICTED
Is It Over Now? (Taylor’s Version) [From the Vault],1989 (Taylor's Version),0.4337034225463867,0.3654947876930237,PREDICTED
1989 (Taylor’s Version) [Prologue],1989 (Taylor's Version),0.4060807228088379,0.7958939671516418,PREDICTED
Fortnight,The Tortured Poets Department,0.2915229797363281,0.5308519005775452,PREDICTED
The Tortured Poets Department,The Tortured Poets Department,0.41924768686294556,0.6350566744804382,PREDICTED
My Boy Only Breaks His Favorite Toys,The Tortured Poets Department,0.30727487802505493,0.47852984070777893,PREDICTED
Down Bad,The Tortured Poets Department,0.69013911485672,0.631171464920044,PREDICTED
"So Long, London",The Tortured Poets Department,0.4074721932411194,0.5873165726661682,PREDICTED
But Daddy I Love Him,The Tortured Poets Department,0.4982168972492218,0.8380089402198792,PREDICTED
Fresh Out The Slammer,The Tortured Poets Department,0.3839016556739807,0.38197559118270874,PREDICTED
Florida!!!,The Tortured Poets Department,0.5896875858306885,0.6207995414733887,PREDICTED
Guilty as Sin?,The Tortured Poets Department,0.44935956597328186,0.48220402002334595,PREDICTED
Who’s Afraid of Little Old Me?,The Tortured Poets Department,0.5236585140228271,0.6305666565895081,PREDICTED
I Can Fix Him (No Really I Can),The Tortured Poets Department,0.43006613850593567,0.20126666128635406,PREDICTED
loml,The Tortured Poets Department,0.4082115590572357,0.5328767895698547,PREDICTED
I Can Do It With a Broken Heart,The Tortured Poets Department,0.5052884817123413,0.6384372711181641,PREDICTED
The Smallest Man Who Ever Lived,The Tortured Poets Department,0.3202633857727051,0.3590531051158905,PREDICTED
The Alchemy,The Tortured Poets Department,0.514499306678772,0.6435641646385193,PREDICTED
Clara Bow,The Tortured Poets Department,0.2673858106136322,0.36641451716423035,PREDICTED
Fortnight,The Tortured Poets Department: The Anthology,0.2915229797363281,0.5308519005775452,PREDICTED
The Tortured Poets Department,The Tortured Poets Department: The Anthology,0.41924768686294556,0.6350566744804382,PREDICTED
My Boy Only Breaks His Favorite Toys,The Tortured Poets Department: The Anthology,0.30727487802505493,0.47852984070777893,PREDICTED
Down Bad,The Tortured Poets Department: The Anthology,0.69013911485672,0.631171464920044,PREDICTED
"So Long, London",The Tortured Poets Department: The Anthology,0.4074721932411194,0.5873165726661682,PREDICTED
But Daddy I Love Him,The Tortured Poets Department: The Anthology,0.4982168972492218,0.8380089402198792,PREDICTED
Fresh Out The Slammer,The Tortured Poets Department: The Anthology,0.3839016556739807,0.38197559118270874,PREDICTED
Florida!!!,The Tortured Poets Department: The Anthology,0.5896875858306885,0.6207995414733887,PREDICTED
Guilty as Sin?,The Tortured Poets Department: The Anthology,0.44935956597328186,0.48220402002334595,PREDICTED
Who’s Afraid of Little Old Me?,The Tortured Poets Department: The Anthology,0.5236585140228271,0.6305666565895081,PREDICTED
I Can Fix Him (No Really I Can),The Tortured Poets Department: The Anthology,0.43006613850593567,0.20126666128635406,PREDICTED
loml,The Tortured Poets Department: The Anthology,0.4082115590572357,0.5328767895698547,PREDICTED
I Can Do It With a Broken Heart,The Tortured Poets Department: The Anthology,0.5052884817123413,0.6384372711181641,PREDICTED
The Smallest Man Who Ever Lived,The Tortured Poets Department: The Anthology,0.3202633857727051,0.3590531051158905,PREDICTED
The Alchemy,The Tortured Poets Department: The Anthology,0.514499306678772,0.6435641646385193,PREDICTED
Clara Bow,The Tortured Poets Department: The Anthology,0.2673858106136322,0.36641451716423035,PREDICTED
The Black Dog,The Tortured Poets Department: The Anthology,0.29570379853248596,0.40728238224983215,PREDICTED
